iso3c,country_name,year,has_any_quota,quota_strength_ordinal,quota_voluntary_party,quota_legislated_candidate,quota_reserved_seats,quota_temporal_basis,quota_source_file,quota_match_status,quota_notes
AFG,Afghanistan,1990,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,1991,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,1992,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,1993,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,1994,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,1995,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,1996,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,1997,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,1998,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,1999,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2000,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2001,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2002,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2003,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2004,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2005,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2006,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2007,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2008,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2009,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2010,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2011,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2012,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2013,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2014,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2015,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2016,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2017,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2018,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2019,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2020,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2021,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2022,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2023,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AFG,Afghanistan,2024,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
AGO,Angola,1990,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,1991,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,1992,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,1993,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,1994,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,1995,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,1996,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,1997,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,1998,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,1999,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2000,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2001,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2002,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2003,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2004,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2005,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2006,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2007,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2008,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2009,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2010,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2011,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2012,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2013,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2014,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2015,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2016,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2017,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2018,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2019,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2020,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2021,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2022,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2023,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
AGO,Angola,2024,1,1,1,0,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,1990,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,1991,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,1992,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,1993,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,1994,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,1995,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,1996,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,1997,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,1998,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,1999,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2000,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2001,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2002,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2003,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2004,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2005,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2006,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2007,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2008,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2009,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2010,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2011,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2012,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2013,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2014,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2015,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2016,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2017,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2018,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2019,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2020,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2021,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2022,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2023,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ALB,Albania,2024,1,2,0,1,0,current_snapshot_only,export_table.csv,matched,No start/end year fields detected in export_table.csv; do not interpret as historical event series.
ARE,United Arab Emirates,1990,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,1991,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,1992,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,1993,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,1994,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,1995,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,1996,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,1997,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,1998,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,1999,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,2000,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,2001,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,2002,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,2003,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,2004,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,2005,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,2006,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,2007,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
ARE,United Arab Emirates,2008,0,0,0,0,0,not_in_quota_export,,manual_review_needed,No matched record in selected IDEA export.
