iso3c,country_name,idea_country_name,match_method,match_score,manual_review_needed,notes
AFG,Afghanistan,,unmatched,0.632,True,no_reliable_auto_match
AGO,Angola,Angola,iso3_exact,1.0,False,
ALB,Albania,Albania,iso3_exact,1.0,False,
ARE,United Arab Emirates,,unmatched,0.467,True,no_reliable_auto_match
ARG,Argentina,Argentina,iso3_exact,1.0,False,
ARM,Armenia,Armenia,iso3_exact,1.0,False,
AUS,Australia,Australia,iso3_exact,1.0,False,
AUT,Austria,Austria,iso3_exact,1.0,False,
AZE,Azerbaijan,,unmatched,0.588,True,no_reliable_auto_match
BDI,Burundi,Burundi,iso3_exact,1.0,False,
BEL,Belgium,Belgium,iso3_exact,1.0,False,
BEN,Benin,Benin,iso3_exact,1.0,False,
BFA,Burkina Faso,Burkina Faso,iso3_exact,1.0,False,
BGD,Bangladesh,Bangladesh,iso3_exact,1.0,False,
BGR,Bulgaria,,unmatched,0.667,True,no_reliable_auto_match
BHR,Bahrain,,unmatched,0.615,True,no_reliable_auto_match
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,iso3_exact,1.0,False,
BLR,Belarus,,unmatched,0.571,True,no_reliable_auto_match
BOL,Bolivia,Bolivia,iso3_exact,1.0,False,
BRA,Brazil,Brazil,iso3_exact,1.0,False,
BRB,Barbados,,unmatched,0.556,True,no_reliable_auto_match
BTN,Bhutan,,unmatched,0.571,True,no_reliable_auto_match
BWA,Botswana,Botswana,iso3_exact,1.0,False,
CAF,Central African Republic,Central African Republic,iso3_exact,1.0,False,
CAN,Canada,Canada,iso3_exact,1.0,False,
CHE,Switzerland,Switzerland,iso3_exact,1.0,False,
CHL,Chile,Chile,iso3_exact,1.0,False,
CHN,China,,unmatched,0.667,True,no_reliable_auto_match
CIV,Ivory Coast,Côte d'Ivoire,iso3_exact,0.333,False,low_name_similarity_despite_iso_match
CMR,Cameroon,Cameroon,iso3_exact,1.0,False,
COD,Democratic Republic of the Congo,,unmatched,0.632,True,no_reliable_auto_match
COG,Republic of the Congo,Republic of The Congo (Brazzaville),iso3_exact,0.75,False,
COL,Colombia,Colombia,iso3_exact,1.0,False,
COM,Comoros,Comoros,iso3_exact,1.0,False,
CPV,Cape Verde,Cabo Verde,iso3_exact,0.8,False,
CRI,Costa Rica,Costa Rica,iso3_exact,1.0,False,
CUB,Cuba,,unmatched,0.545,True,no_reliable_auto_match
CYP,Cyprus,Cyprus,iso3_exact,1.0,False,
CZE,Czechia,Czechia,iso3_exact,1.0,False,
DDR,German Democratic Republic,,unmatched,0.542,True,no_reliable_auto_match
DEU,Germany,Germany,iso3_exact,1.0,False,
DJI,Djibouti,,unmatched,0.444,True,no_reliable_auto_match
DNK,Denmark,,unmatched,0.5,True,no_reliable_auto_match
DOM,Dominican Republic,Dominican Republic,iso3_exact,1.0,False,
DZA,Algeria,Algeria,iso3_exact,1.0,False,
ECU,Ecuador,Ecuador,iso3_exact,1.0,False,
EGY,Egypt,Egypt,iso3_exact,1.0,False,
ERI,Eritrea,Eritrea,iso3_exact,1.0,False,
ESP,Spain,Spain,iso3_exact,1.0,False,
EST,Estonia,,unmatched,0.571,True,no_reliable_auto_match
ETH,Ethiopia,,unmatched,0.533,True,no_reliable_auto_match
FIN,Finland,,unmatched,0.714,True,no_reliable_auto_match
FJI,Fiji,,unmatched,0.444,True,no_reliable_auto_match
FRA,France,France,iso3_exact,1.0,False,
GAB,Gabon,Gabon,iso3_exact,1.0,False,
GBR,United Kingdom,United Kingdom,iso3_exact,1.0,False,
GEO,Georgia,,unmatched,0.714,True,no_reliable_auto_match
GHA,Ghana,,unmatched,0.727,True,no_reliable_auto_match
GIN,Guinea,Guinea,iso3_exact,1.0,False,
GMB,The Gambia,,unmatched,0.625,True,no_reliable_auto_match
GNB,Guinea-Bissau,Guinea-Bissau,iso3_exact,1.0,False,
GNQ,Equatorial Guinea,Equatorial Guinea,iso3_exact,1.0,False,
GRC,Greece,Greece,iso3_exact,1.0,False,
GTM,Guatemala,Guatemala,iso3_exact,1.0,False,
GUY,Guyana,,unmatched,0.667,True,no_reliable_auto_match
HKG,Hong Kong,,unmatched,0.5,True,no_reliable_auto_match
HND,Honduras,Honduras,iso3_exact,1.0,False,
HRV,Croatia,Croatia,iso3_exact,1.0,False,
HTI,Haiti,,unmatched,0.571,True,no_reliable_auto_match
HUN,Hungary,Hungary,iso3_exact,1.0,False,
IDN,Indonesia,Indonesia,iso3_exact,1.0,False,
IND,India,India,iso3_exact,1.0,False,
IRL,Ireland,Ireland,iso3_exact,1.0,False,
IRN,Iran,,unmatched,0.75,True,no_reliable_auto_match
IRQ,Iraq,Iraq,iso3_exact,1.0,False,
