iso3c,country_name,idea_country_name,idea_iso3,lower_quota_type,voluntary_details,quota_voluntary_party,quota_legislated_candidate,quota_reserved_seats,quota_strength_ordinal,has_any_quota,quota_match_status,source_file
AFG,Afghanistan,,,,,0,0,0,0,0,manual_review_needed,
AGO,Angola,Angola,AGO,-,Yes,1,0,0,1,1,matched,export_table.csv
ALB,Albania,Albania,ALB,Legislated Candidate Quotas,-,0,1,0,2,1,matched,export_table.csv
ARE,United Arab Emirates,,,,,0,0,0,0,0,manual_review_needed,
ARG,Argentina,Argentina,ARG,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
ARM,Armenia,Armenia,ARM,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
AUS,Australia,Australia,AUS,-,Yes,1,0,0,1,1,matched,export_table.csv
AUT,Austria,Austria,AUT,-,Yes,1,0,0,1,1,matched,export_table.csv
AZE,Azerbaijan,,,,,0,0,0,0,0,manual_review_needed,
BDI,Burundi,Burundi,BDI,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
BEL,Belgium,Belgium,BEL,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
BEN,Benin,Benin,BEN,Reserved seats,Yes,1,0,1,3,1,matched,export_table.csv
BFA,Burkina Faso,Burkina Faso,BFA,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
BGD,Bangladesh,Bangladesh,BGD,Reserved seats,No,0,0,1,3,1,matched,export_table.csv
BGR,Bulgaria,,,,,0,0,0,0,0,manual_review_needed,
BHR,Bahrain,,,,,0,0,0,0,0,manual_review_needed,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
BLR,Belarus,,,,,0,0,0,0,0,manual_review_needed,
BOL,Bolivia,Bolivia,BOL,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
BRA,Brazil,Brazil,BRA,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
BRB,Barbados,,,,,0,0,0,0,0,manual_review_needed,
BTN,Bhutan,,,,,0,0,0,0,0,manual_review_needed,
BWA,Botswana,Botswana,BWA,-,Yes,1,0,0,1,1,matched,export_table.csv
