iso3c,country_name,start_year,end_year,quota_type,quota_strength_base,target_stage,target_stage_score,mandating_authority,mandating_authority_level,level_scope,lower_house_scope,upper_house_scope,subnational_scope,quota_target_percent,reserved_seats_number,has_any_sanction,sanction_reject_list,sanction_financial,sanction_other,placement_mandate,rank_order_zipper,requires_constitutional_amendment,legal_basis,source_url,source_quote,source_type,coder,confidence,notes
AFG,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
AGO,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ALB,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ARE,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ARG,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ARM,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
AUS,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
AUT,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
AZE,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BDI,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BEL,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BEN,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BFA,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BGD,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BGR,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BHR,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BIH,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BLR,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BOL,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BRA,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BRB,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BTN,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
BWA,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CAF,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CAN,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CHE,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CHL,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CHN,China,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CIV,Ivory Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CMR,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
COD,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
COG,Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
COL,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
COM,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CPV,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CRI,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CUB,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CYP,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
CZE,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
DDR,German Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
DEU,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
DJI,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
DNK,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
DOM,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
DZA,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ECU,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
EGY,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ESP,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
EST,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
FIN,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
FJI,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
FRA,France,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GAB,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GBR,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GEO,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GHA,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GIN,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GMB,The Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GNB,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GNQ,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GRC,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GTM,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
GUY,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
HKG,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
HND,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
HRV,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
HTI,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
HUN,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
IDN,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
IRL,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
IRN,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
IRQ,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ISL,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ISR,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ITA,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
JAM,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
JOR,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
JPN,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
